nom,prix,description,stock
Laptop HP 15,2500 DT,Laptop HP 15 pouces Intel Core i5 8GB RAM 512GB SSD,En stock
Samsung Galaxy A55,1200 DT,Smartphone Samsung Galaxy A55 6.6 pouces 128GB,En stock
Ecran LG 27 pouces,800 DT,Ecran LG 27 pouces Full HD IPS,En stock
Clavier Logitech,150 DT,Clavier sans fil Logitech K380,En stock
Souris Gaming,200 DT,Souris gaming RGB 7200 DPI,En stock
Casque Bluetooth,350 DT,Casque Bluetooth Sony WH-1000XM4 Noise Cancelling,En stock
Chaise Gaming,1800 DT,Chaise gaming ergonomique avec support lombaire,En stock
Bureau PC,600 DT,Bureau informatique 120cm avec rangements,En stock
Sac Laptop,120 DT,Sac pour laptop 15 pouces imperméable,En stock
Webcam HD,250 DT,Webcam 1080p avec microphone integre,En stock
